post_row_id,source_row_number,post_id,source_platform,platform,country,region,content_key,main_hashtag,post_published_at,post_date,published_day_of_week,published_day_sort,published_month,post_hour,published_hour_bucket,engagement_level,content_type,promotion_type,content_category,post_type,engagement,views,likes,shares,comments,engagement_rate,impressions,video_views,live_stream_views,clicks,click_through_rate,reach_efficiency,click_efficiency,view_efficiency,video_view_share,live_stream_view_share,is_click_trackable,is_video_post,is_live_stream_post,is_challenge_scope,scope_segment,longitude,latitude
post_row_1,1,Post_1,TikTok,TikTok,UK,Europe,Organic | Organic | Product Promotion | Video,#FeatureHighlight,2024-03-14 15:42:00,2024-03-14,Thursday,4,2024-03,15,14:00-15:59,Low,Organic,Organic,Product Promotion,Video,54510,599342,125741,35920,15727,0.09095056986556643,677975,465645,0,16813.0,0.0248,0.08040119473431911,0.024798849515100113,0.8840178472657546,0.7769270299762072,0.0,True,True,False,False,Full Workbook Only,-3.436,55.3781
post_row_2,2,Post_2,Instagram,Instagram,India,APAC,Organic | Organic | Product Promotion | Video,#ProductDemo,2024-04-24 12:02:00,2024-04-24,Wednesday,3,2024-04,12,12:00-13:59,Medium,Organic,Organic,Product Promotion,Video,259440,1896301,206151,139015,83521,0.136813956832937,2354474,1896301,0,,,0.11019021658340673,,0.8054032450560082,1.0,0.0,False,True,False,False,Full Workbook Only,78.9629,20.5937
post_row_3,3,Post_3,X.com,X (Twitter),Brazil,Latin America,Organic | Organic | Entertainment | Text,#MemeMonday,2024-12-01 10:02:00,2024-12-01,Sunday,7,2024-12,10,10:00-11:59,Low,Organic,Organic,Entertainment,Text,14182,253052,32206,9912,8140,0.05604501508590226,304915,0,0,,,0.046511322827673285,,0.8299099749110408,0.0,0.0,False,False,False,False,Full Workbook Only,-51.9253,-14.235
post_row_4,4,Post_4,Instagram,Instagram,Australia,APAC,Organic | Organic | Entertainment | Carousel,#JustForFun,2024-07-07 12:59:00,2024-07-07,Sunday,7,2024-07,12,12:00-13:59,Low,Organic,Organic,Entertainment,Carousel,49137,735640,121227,32781,32716,0.06679597300020748,829727,0,0,,,0.05922068342960998,,0.8866048712407816,0.0,0.0,False,False,False,False,Full Workbook Only,133.7751,-25.2744
post_row_5,5,Post_5,TikTok,TikTok,Brazil,Latin America,Organic | Organic | Educational | Video,#CaseStudy2025,2024-01-10 11:28:00,2024-01-10,Wednesday,3,2024-01,11,10:00-11:59,High,Organic,Organic,Educational,Video,20832,77358,13027,5357,2165,0.269301865906646,93049,72707,0,1944.0,0.0209,0.22388204064525144,0.020892218078646736,0.8313684187900998,0.9398769358049588,0.0,True,True,False,False,Full Workbook Only,-51.9253,-14.235
post_row_6,6,Post_6,LinkedIn,LinkedIn,Australia,APAC,Organic | Organic | Customer Story | Image,#SuccessStory,2024-02-05 09:18:00,2024-02-05,Monday,1,2024-02,9,08:00-09:59,High,Organic,Organic,Customer Story,Image,47292,217539,41084,7031,9637,0.2173986707507984,246712,0,0,,,0.19168909497713935,,0.8817528129965304,0.0,0.0,False,False,False,False,Full Workbook Only,133.7751,-25.2744
post_row_7,7,Post_7,YouTube,YouTube,Japan,APAC,Organic | Organic | Customer Story | Video,#CustomerStory,2024-05-05 12:45:00,2024-05-05,Sunday,7,2024-05,12,12:00-13:59,High,Organic,Organic,Customer Story,Video,44036,189936,38487,9878,4725,0.2318485836655865,227739,178450,0,,,0.19336169913804838,,0.8340073505196738,0.9395269985679386,0.0,False,True,False,False,Full Workbook Only,138.2529,36.2048
post_row_8,8,Post_8,YouTube,YouTube,UK,Europe,Organic | Organic | Customer Story | Video,#CustomerStory,2024-03-23 15:47:00,2024-03-23,Saturday,6,2024-03,15,14:00-15:59,Medium,Organic,Organic,Customer Story,Video,325640,1781229,187310,134422,54062,0.1828179784611859,2195372,1781229,0,,,0.1483302146515488,,0.8113563441639959,1.0,0.0,False,True,False,False,Full Workbook Only,-3.436,55.3781
post_row_9,9,Post_9,X.com,X (Twitter),India,APAC,Organic | Organic | Product Promotion | Text,#FeatureHighlight,2025-04-29 16:36:00,2025-04-29,Tuesday,2,2025-04,16,16:00-17:59,Medium,Organic,Organic,Product Promotion,Text,38084,270886,49303,10630,15923,0.1405930405714198,339969,0,0,,,0.11202197847450797,,0.7967961784750962,0.0,0.0,False,False,False,False,Full Workbook Only,78.9629,20.5937
post_row_10,10,Post_10,TikTok,TikTok,India,APAC,Organic | Organic | Product Promotion | Video,#ProductDemo,2025-02-16 15:43:00,2025-02-16,Sunday,7,2025-02,15,14:00-15:59,Medium,Organic,Organic,Product Promotion,Video,76170,530247,124196,31759,30157,0.1436507844789495,592656,530247,0,8949.0,0.0151,0.12852312302583624,0.01509982181906536,0.8946960800194379,1.0,0.0,True,True,False,False,Full Workbook Only,78.9629,20.5937
post_row_11,11,Post_11,Instagram,Instagram,Germany,Europe,Organic | Organic | Event / Webinar | Live Stream,#EventRecap,2024-10-28 10:50:00,2024-10-28,Monday,1,2024-10,10,10:00-11:59,Medium,Organic,Organic,Event / Webinar,Live Stream,26520,149091,20977,10650,5109,0.1778813084715442,172377,0,317078,,,0.1538488313406081,,0.8649123723002489,0.0,2.1267413861333013,False,False,True,False,Full Workbook Only,10.4515,51.1657
