content_key,content_type,promotion_type,content_category,post_type
Organic | Organic | Customer Story | Article,Organic,Organic,Customer Story,Article
Organic | Organic | Customer Story | Carousel,Organic,Organic,Customer Story,Carousel
Organic | Organic | Customer Story | Image,Organic,Organic,Customer Story,Image
Organic | Organic | Customer Story | Live Stream,Organic,Organic,Customer Story,Live Stream
Organic | Organic | Customer Story | Text,Organic,Organic,Customer Story,Text
Organic | Organic | Customer Story | Video,Organic,Organic,Customer Story,Video
Organic | Organic | Educational | Article,Organic,Organic,Educational,Article
Organic | Organic | Educational | Carousel,Organic,Organic,Educational,Carousel
Organic | Organic | Educational | Image,Organic,Organic,Educational,Image
Organic | Organic | Educational | Live Stream,Organic,Organic,Educational,Live Stream
Organic | Organic | Educational | PDF,Organic,Organic,Educational,PDF
Organic | Organic | Educational | Text,Organic,Organic,Educational,Text
Organic | Organic | Educational | Video,Organic,Organic,Educational,Video
Organic | Organic | Entertainment | Article,Organic,Organic,Entertainment,Article
Organic | Organic | Entertainment | Carousel,Organic,Organic,Entertainment,Carousel
Organic | Organic | Entertainment | Image,Organic,Organic,Entertainment,Image
Organic | Organic | Entertainment | PDF,Organic,Organic,Entertainment,PDF
Organic | Organic | Entertainment | Text,Organic,Organic,Entertainment,Text
Organic | Organic | Entertainment | Video,Organic,Organic,Entertainment,Video
Organic | Organic | Event / Webinar | Image,Organic,Organic,Event / Webinar,Image
Organic | Organic | Event / Webinar | Live Stream,Organic,Organic,Event / Webinar,Live Stream
Organic | Organic | Event / Webinar | PDF,Organic,Organic,Event / Webinar,PDF
Organic | Organic | Event / Webinar | Text,Organic,Organic,Event / Webinar,Text
Organic | Organic | Event / Webinar | Video,Organic,Organic,Event / Webinar,Video
Organic | Organic | Product Promotion | Article,Organic,Organic,Product Promotion,Article
Organic | Organic | Product Promotion | Carousel,Organic,Organic,Product Promotion,Carousel
Organic | Organic | Product Promotion | Image,Organic,Organic,Product Promotion,Image
Organic | Organic | Product Promotion | Live Stream,Organic,Organic,Product Promotion,Live Stream
Organic | Organic | Product Promotion | PDF,Organic,Organic,Product Promotion,PDF
Organic | Organic | Product Promotion | Text,Organic,Organic,Product Promotion,Text
Organic | Organic | Product Promotion | Video,Organic,Organic,Product Promotion,Video
Sponsored | Paid/Promoted | Customer Story | Article,Sponsored,Paid/Promoted,Customer Story,Article
Sponsored | Paid/Promoted | Customer Story | Carousel,Sponsored,Paid/Promoted,Customer Story,Carousel
Sponsored | Paid/Promoted | Customer Story | Image,Sponsored,Paid/Promoted,Customer Story,Image
Sponsored | Paid/Promoted | Customer Story | Text,Sponsored,Paid/Promoted,Customer Story,Text
Sponsored | Paid/Promoted | Customer Story | Video,Sponsored,Paid/Promoted,Customer Story,Video
Sponsored | Paid/Promoted | Educational | Article,Sponsored,Paid/Promoted,Educational,Article
Sponsored | Paid/Promoted | Educational | Carousel,Sponsored,Paid/Promoted,Educational,Carousel
Sponsored | Paid/Promoted | Educational | Image,Sponsored,Paid/Promoted,Educational,Image
Sponsored | Paid/Promoted | Educational | PDF,Sponsored,Paid/Promoted,Educational,PDF
Sponsored | Paid/Promoted | Educational | Text,Sponsored,Paid/Promoted,Educational,Text
Sponsored | Paid/Promoted | Educational | Video,Sponsored,Paid/Promoted,Educational,Video
Sponsored | Paid/Promoted | Entertainment | Article,Sponsored,Paid/Promoted,Entertainment,Article
Sponsored | Paid/Promoted | Entertainment | Carousel,Sponsored,Paid/Promoted,Entertainment,Carousel
Sponsored | Paid/Promoted | Entertainment | Image,Sponsored,Paid/Promoted,Entertainment,Image
Sponsored | Paid/Promoted | Entertainment | Text,Sponsored,Paid/Promoted,Entertainment,Text
Sponsored | Paid/Promoted | Entertainment | Video,Sponsored,Paid/Promoted,Entertainment,Video
Sponsored | Paid/Promoted | Product Promotion | Article,Sponsored,Paid/Promoted,Product Promotion,Article
Sponsored | Paid/Promoted | Product Promotion | Carousel,Sponsored,Paid/Promoted,Product Promotion,Carousel
Sponsored | Paid/Promoted | Product Promotion | Image,Sponsored,Paid/Promoted,Product Promotion,Image
Sponsored | Paid/Promoted | Product Promotion | Live Stream,Sponsored,Paid/Promoted,Product Promotion,Live Stream
Sponsored | Paid/Promoted | Product Promotion | Text,Sponsored,Paid/Promoted,Product Promotion,Text
Sponsored | Paid/Promoted | Product Promotion | Video,Sponsored,Paid/Promoted,Product Promotion,Video
